Transaction_date,Product,Price,Payment_Type,Name,City,State,Country
1/4/09 8:39,Product2,3600,Diners,Baybars,Prince Albert,Saskatchewan,Canada
1/5/09 0:31,Product1,1200,Mastercard,Bonnie,Saltsjobaden,Stockholm,Sweden
1/2/09 6:07,Product1,1200,Visa,Cindy ,Kemble,England,United Kingdom
1/12/09 3:25,Product1,1200,Mastercard,chrissy,W Lebanon                   ,NH,United States
1/4/09 13:56,Product1,1200,Mastercard,Tamar,Headley,England,United Kingdom
1/7/09 0:12,Product2,3600,Mastercard,Deirdre,Lausanne,Vaud,Switzerland
1/12/09 5:18,Product1,1200,Mastercard,Bernadett,Southampton,England,United Kingdom
1/8/09 15:16,Product1,1200,Visa,Dottie,Woodsboro                   ,MD,United States
1/11/09 11:33,Product1,1200,Visa,Stefan,Stavanger,Rogaland,Norway
1/7/09 20:22,Product1,1200,Visa,Gina,Red Deer,Alberta,Canada
1/2/09 22:00,Product1,1200,Diners,Lynne,Memphis                     ,TN,United States
1/5/09 13:52,Product1,1200,Mastercard,Tammy,Morges,Vaud,Switzerland
1/8/09 20:32,Product1,1200,Visa,Kim,Calgary,Alberta,Canada
1/8/09 13:34,Product1,1200,Visa,Bruce,Belleville,Ontario,Canada
1/11/09 13:08,Product1,1200,Visa,Rosa Maria,Cincinnati                  ,OH,United States
1/12/09 19:04,Product1,1200,Visa,Lydia,Comox,British Columbia,Canada
1/12/09 13:41,Product1,1200,Visa,Eric,Gasperich,Luxembourg,Luxembourg
1/11/09 10:38,Product1,1200,Mastercard,AnaPaula,Helens Bay,Northern Ireland,United Kingdom
1/13/09 5:57,Product1,1200,Visa,Robin,Milan,Lombardy,Italy
1/13/09 6:13,Product1,1200,Visa,Gitte,Staten Island               ,NY,United States
1/8/09 13:14,Product1,1200,Visa,Dr. Claudia,Oslo,Oslo,Norway
1/2/09 11:41,Product1,1200,Visa,Crystal,Farmington,Michigan,United States
1/7/09 19:50,Product1,1200,Diners,Delphine,Santa Monica                ,CA,United States
1/1/09 20:28,Product1,1200,Visa,nathalie,Calgary,Alberta,Canada
1/3/09 15:22,Product1,1200,Mastercard,Lindi,Vancouver,British Columbia,Canada
1/12/09 3:03,Product2,3600,Mastercard,Valda,Irvine                      ,CA,United States
1/5/09 8:58,Product2,3600,Mastercard,Marcia,Telgte,Nordrhein-Westfalen,Germany
1/10/09 14:03,Product1,1200,Mastercard,Kevin,Cheltenham,England,United Kingdom
1/13/09 11:26,Product1,1200,Visa,Clare,Keller                      ,VA,United States
1/2/09 12:18,Product1,1200,Visa,Alice,Nakskov,Storstrom,Denmark
1/14/09 4:54,Product1,1200,Mastercard,ZENA,Honolulu                    ,HI,United States
1/6/09 17:15,Product1,1200,Visa,Andrea,Bubuieci,Chisinau,Moldova
1/3/09 13:56,Product1,1200,Visa,Rennae,Amelia Island               ,FL,United States
1/4/09 7:54,Product1,1200,Visa,Gerhard,Alliston,Ontario,Canada
1/12/09 7:28,Product1,1200,Amex,Megan,La Alberca,Murcia,Spain
1/6/09 15:15,Product1,1200,Mastercard,Danielle,Rathgar,Dublin,Ireland
1/13/09 23:56,Product1,1200,Mastercard,Tod,Coral Gables                ,FL,United States
1/14/09 19:32,Product1,1200,Visa,Janaina,Miami                       ,FL,United States
1/6/09 21:13,Product1,1200,Visa,Kofi,Vancouver,British Columbia,Canada
1/14/09 11:19,Product1,1200,Visa,Jennifer,Jumeira,Dubayy,United Arab Emirates
1/13/09 19:39,Product1,1200,Visa,Jolene ,Englewood                   ,CO,United States
1/8/09 7:26,Product1,1200,Mastercard,anne,Bournemouth,England,United Kingdom
1/15/09 2:40,Product1,1200,Mastercard,Alexis,Genoa                       ,IL,United States
1/12/09 6:40,Product1,1200,Visa,Dez,Al 'Adliyah,Al Manamah,Bahrain
1/15/09 3:43,Product1,1200,Visa,Stephanie,Rouen,Upper Normandy,France
1/5/09 15:39,Product1,1200,Visa,Melissa ,Parkland                    ,FL,United States
1/10/09 5:21,Product1,1200,Amex,CLARE,San Francisco               ,CA,United States
1/15/09 4:12,Product1,1200,Mastercard,catherine,Keller                      ,VA,United States
1/12/09 11:48,Product1,1200,Visa,Veronique ,Tsawwassen,British Columbia,Canada
1/6/09 10:48,Product1,1200,Mastercard,Bruce and Camille,Clinton                     ,NJ,United States
1/14/09 9:10,Product1,1200,Mastercard,Ellen,Owensboro                   ,KY,United States
1/14/09 22:44,Product1,1200,Visa,Amy,Lakewood Village            ,TX,United States
1/6/09 7:23,Product1,1200,Visa,Anna,Okotoks,Alberta,Canada
1/1/09 5:04,Product1,1200,Mastercard,Regina,Glimmen,Groningen,Netherlands
1/15/09 11:56,Product1,1200,Visa,Heidi,Calgary,Alberta,Canada
1/15/09 11:58,Product1,1200,Visa,Jessica,Kanata,Ontario,Canada
1/12/09 9:43,Product1,1200,Diners,Petra,Bergen,Nordrhein-Westfalen,Germany
1/15/09 12:33,Product1,1200,Visa,Brian,College Park                ,MD,United States
1/14/09 11:35,Product1,1200,Visa,Kenny,Kailua Kona                 ,HI,United States
1/14/09 15:40,Product1,1200,Amex,ayse,Redondo Beach               ,CA,United States
1/3/09 11:08,Product1,1200,Amex,Maria and Timothy,Fountain Hls                ,AZ,United States
1/12/09 1:37,Product1,1200,Visa,IMAN,Brisbane,Queensland,Australia
1/16/09 7:21,Product1,2100,Mastercard,Gerald,Mahopac                     ,NY,United States
1/15/09 12:54,Product1,1200,Mastercard,Annelies,Ile-Perrot,Quebec,Canada
1/7/09 7:19,Product1,1200,Amex,Jocelyn,Bruxelles,Brussels (Bruxelles),Belgium
1/3/09 9:56,Product1,1200,Visa,Kara,Chicago                     ,IL,United States
1/16/09 17:41,Product1,1200,Visa,Orsi,Rayford                     ,TX,United States
1/5/09 5:33,Product1,1200,Visa,Ben,Escondido                   ,CA,United States
1/2/09 0:50,Product1,1200,Visa,Sam,Tesvikiye,Istanbul,Turkey
1/13/09 1:51,Product1,1200,Visa,Filip and Teresa,Centurion,Gauteng,South Africa
1/15/09 10:24,Product1,1200,Visa,Grace ,York,England,United Kingdom
1/11/09 8:59,Product1,1200,Visa,Chelsey ,Ashburn                     ,VA,United States
1/15/09 15:56,Product1,1200,Amex,Charis,Los Angeles                 ,CA,United States
1/1/09 12:19,Product1,1200,Visa,Marlene,Edgewood                    ,WA,United States
1/6/09 14:03,Product1,1200,Visa,Fie,New York                    ,NY,United States
1/9/09 15:32,Product1,1200,Diners,Nicole ,Basingstoke,England,United Kingdom
1/17/09 12:59,Product1,1200,Diners,Linda,Den Haag,Zuid-Holland,Netherlands
1/12/09 12:37,Product1,1200,Visa,Janet,Marietta                    ,GA,United States
1/4/09 7:43,Product1,1200,Mastercard,Jamie,Houston                     ,TX,United States
1/17/09 16:22,Product1,1200,Visa,Chad,West Orange                 ,NJ,United States
1/1/09 3:51,Product1,1200,Mastercard,sunny,Amsterdam,Noord-Holland,Netherlands
1/18/09 5:27,Product1,1200,Visa,Anna,Downey                      ,CA,United States
1/18/09 5:15,Product1,1200,Diners,Roger,Urlingford,Kilkenny,Ireland
1/1/09 1:51,Product1,1200,Mastercard,Si,Holte,Kobenhavn,Denmark
1/18/09 6:30,Product1,1200,Visa,Sherri,Freienbach,Schwyz,Switzerland
1/11/09 10:51,Product1,1200,Mastercard,Katherine,Hofheim am Taunus,Hessen,Germany
1/4/09 17:02,Product1,1200,Mastercard,Clare,Lafayette                   ,CA,United States
1/17/09 1:23,Product1,1200,Amex,Campbell,Mushrif,,Kuwait
1/18/09 2:16,Product1,1200,Visa,Ruth,Nashville                   ,AR,United States
1/18/09 11:34,Product2,3600,Visa,Cheryl,New Malden,England,United Kingdom
1/18/09 4:38,Product1,1200,Visa,Doug,Bishop Auckland,England,United Kingdom
1/18/09 13:26,Product3,7500,Mastercard,Julianne,Navan,Meath,Ireland
1/18/09 11:53,Product1,1200,Visa,Shailesh,Joppa,MD,United States
1/18/09 12:04,Product1,1200,Visa,Conrad,Joppa,MD,United States
1/13/09 19:54,Product1,1200,Diners,Alison,Hampton                     ,NJ,United States
1/5/09 21:06,Product1,1200,Mastercard,Tracy,Louisville                  ,KY,United States
1/14/09 6:32,Product1,1200,Visa,Kate,Broadlands                  ,VA,United States
1/4/09 23:48,Product1,1200,Diners,Sarka,Yellowknife,Northwest Territories,Canada
1/18/09 16:32,Product2,3600,Visa,Therese,Los Angeles                 ,CA,United States
1/18/09 17:04,Product2,3600,Visa,Abdul-L,New York                    ,NY,United States
1/18/09 17:20,Product2,3600,Visa,heidi,Saint Paul                  ,MN,United States
1/18/09 17:39,Product2,3600,Visa,jiyoung,New York                    ,NY,United States
1/11/09 11:20,Product1,1200,Visa,Klara,Spring Lake Park            ,MN,United States
1/13/09 20:59,Product1,1200,Mastercard,Andrew,Winnipeg,Manitoba,Canada
1/12/09 16:50,Product1,1200,Visa,Vicki and Bill,Seattle                     ,WA,United States
1/12/09 15:12,Product1,1200,Mastercard,David,Deptford                    ,NJ,United States
1/6/09 12:27,Product1,1200,Mastercard,Antonella,Amsterdam,Noord-Holland,Netherlands
1/9/09 18:52,Product1,1200,Visa,David,Alpharetta                  ,GA,United States
1/18/09 23:17,Product1,1200,Visa,Greg,Washington                  ,DC,United States
1/7/09 8:21,Product1,1200,Visa,Jannik ,Holmenkollen,Oslo,Norway
1/3/09 9:54,Product1,1200,Visa,Sylvia,Zekeriyakoy,Istanbul,Turkey
1/5/09 19:37,Product1,1200,Amex,Bernadette,Washington                  ,DC,United States
1/4/09 12:49,Product1,1200,Diners,Denise,Montreal,Quebec,Canada
1/8/09 11:55,Product2,3600,Visa,Caren,Braunschweig,Lower Saxony,Germany
1/14/09 18:21,Product1,1200,Visa,luciana,Athens                      ,GA,United States
1/11/09 19:01,Product1,1200,Diners,Maja,Hoschton                    ,GA,United States
1/14/09 5:20,Product2,3600,Visa,Kristen,Binningen,Basel-Country,Switzerland
1/15/09 8:07,Product1,1200,Visa,Kirstie,Royal Oak                   ,MI,United States
1/15/09 8:10,Product1,1200,Visa,Scott ,Royal Oak                   ,MI,United States
1/2/09 17:45,Product1,1200,Mastercard,Jammie,Belmont                     ,MA,United States
1/19/09 16:10,Product1,1200,Mastercard,Frank,Old Greenwich               ,CT,United States
1/19/09 16:55,Product1,1200,Mastercard,scott,Coconut Grove               ,FL,United States
1/10/09 17:41,Product1,1200,Visa,Jiri,Vienna                      ,VA,United States
1/18/09 13:49,Product2,3600,Visa,Bev,San Ramon                   ,CA,United States
1/15/09 5:47,Product1,1200,Visa,Dave and Amy,Norfolk                     ,VA,United States
1/19/09 23:06,Product1,1200,Mastercard,Rebecca,Norfolk                     ,VA,United States
1/19/09 11:12,Product1,1200,Visa,Melissa,Aberdeen,Scotland,United Kingdom
1/4/09 1:38,Product1,1200,Amex,jeremy,Charlestown,New South Wales,Australia
1/20/09 3:11,Product1,1200,Visa,Randy,Wigan,England,United Kingdom
1/3/09 10:52,Product1,1200,Visa,Djeiny,Rockville                   ,MD,United States
1/20/09 5:24,Product3 ,7500,Mastercard,Amanda,Shreveport                  ,LA,United States
1/20/09 6:03,Product1,1200,Mastercard,Andrea ,Shreveport                  ,LA,United States
1/10/09 11:37,Product1,1200,Amex,Joanna,Little Silver               ,NJ,United States
1/20/09 5:50,Product1,1200,Visa,Jessica,Abbey Town,England,United Kingdom
1/19/09 16:32,Product1,1200,Amex,alison,Mid City West               ,PA,United States
1/18/09 10:42,Product1,1200,Visa,malin,Atlanta,Georgia,United States
1/7/09 6:11,Product2,3600,Visa,Tiffany ,Paris,Ile-de-France,France
1/3/09 8:29,Product1,1200,Visa,Genevieve,Milton Keynes,England,United Kingdom
1/1/09 2:09,Product1,1200,Mastercard,Saraya,Dresden,Saxony,Germany
1/20/09 12:34,Product1,1200,Mastercard,Anastasia,NYC                         ,NY,United States
1/20/09 3:51,Product1,1200,Visa,Elizabeth,The Grange,Queensland,Australia
1/15/09 11:26,Product1,1200,Visa,Nicole,Brookline                   ,MA,United States
1/5/09 16:55,Product1,1200,Visa,Jeffrey,Montreal-Nord,Quebec,Canada
1/12/09 19:47,Product1,1200,Mastercard,Blanca Gabriela ,Irving                      ,TX,United States
1/4/09 19:20,Product1,1200,Amex,Elisa,Ottawa Hills                ,OH,United States
1/10/09 8:33,Product2,3600,Mastercard,Patricia ,Portola Valley              ,CA,United States
1/9/09 14:51,Product1,1200,Visa,Bob,Sydney,New South Wales,Australia
1/16/09 2:41,Product3,7500,Visa,Kristyn,Kearns                      ,UT,United States
1/16/09 18:36,Product1,1200,Visa,Elizabeth,Wollongong,New South Wales,Australia
1/20/09 8:10,Product1,1200,Amex,Cathy,Brooklyn                    ,NY,United States
1/6/09 12:45,Product2,3600,Amex,Kaylee,Penngrove                   ,CA,United States
1/10/09 8:13,Product1,1200,Visa,suzanne,Lemont                      ,IL,United States
1/7/09 14:15,Product1,1200,Mastercard,Cassandra,San Carlos                  ,CA,United States
1/8/09 15:27,Product1,1200,Mastercard,Jennifer,Chicago                     ,IL,United States
1/21/09 11:36,Product1,1200,Visa,nicole,Oslo,Oslo,Norway
1/21/09 14:06,Product1,1200,Visa,Sean,Wantagh,NY,United States
1/2/09 2:28,Product1,1200,Mastercard,Morgan,Coomera,Queensland,Australia
1/19/09 19:07,Product1,1200,Diners,Harriet,Fort Oglethorpe             ,GA,United States
1/18/09 6:27,Product1,1200,Mastercard,Janine,Corbin City                 ,NJ,United States
1/20/09 11:58,Product1,1200,Mastercard,Debora,Lakeside                    ,CA,United States
1/20/09 16:32,Product1,1200,Visa,Vishpala,Margate                     ,FL,United States
1/1/09 7:09,Product1,1200,Amex,Emer,South Palm Beach            ,FL,United States
1/21/09 14:55,Product1,1200,Diners,john,New York                    ,NY,United States
1/7/09 22:29,Product1,1200,Mastercard,lailani,Anchorage                   ,AK,United States
1/11/09 22:22,Product2,3600,Visa,STEPHANIE,Mona Vale,New South Wales,Australia
1/21/09 14:25,Product1,1200,Visa,Tricia,Castricum,Noord-Holland,Netherlands
1/18/09 16:50,Product1,1200,Visa,Celina,North Brunswick             ,NJ,United States
1/21/09 12:08,Product2,3600,Visa,Rosemary,Jacksonville                ,FL,United States
1/22/09 6:41,Product1,1200,Visa,Patrick,Baytown                     ,TX,United States
1/12/09 9:23,Product1,1200,Mastercard,Jacob,Winter Haven                ,FL,United States
1/22/09 8:23,Product1,1200,Visa,elisabeth,Gonzaga Univ                ,WA,United States
1/3/09 6:41,Product2,3600,Visa,ayelet,Malmo,Skane,Sweden
1/1/09 12:20,Product2,3600,Visa,seemab,San Pawl tat-Targa, ,Malta
1/4/09 22:00,Product2,3600,Amex,Lucien,Wiesbaden,Hessen,Germany
1/21/09 2:15,Product1,1200,Visa,Kevin ,London,England,United Kingdom
1/1/09 14:22,Product1,1200,Mastercard,Liban,Stavanger,Rogaland,Norway
1/16/09 1:07,Product2,3600,Diners,Lesley,Cork,Cork,Ireland
1/20/09 8:51,Product1,1200,Visa,Marie,Winchester                  ,MA,United States
1/4/09 9:02,Product1,1200,Visa,Charlene,Calgary,Alberta,Canada
1/6/09 8:34,Product1,1200,Visa,Orit,Dallas                      ,TX,United States
1/8/09 4:16,Product1,1200,Visa,Alan,Malahide,Dublin,Ireland
1/23/09 3:33,Product2,3600,Mastercard,Anja Langer,Saint Paul                  ,MN,United States
1/6/09 4:18,Product1,1200,Visa,Lina,Edinburgh,Scotland,United Kingdom
1/23/09 3:30,Product1,1200,Amex,Larry,Naarden,Noord-Holland,Netherlands
1/10/09 4:04,Product1,1200,Visa,Jessica,Oldenburg,Lower Saxony,Germany
1/5/09 2:57,Product3,7500,Visa,Marion,Rennes,Brittany,France
1/21/09 14:15,Product1,1200,Amex,Eric,Ely                         ,NV,United States
1/21/09 6:39,Product1,1200,Amex,Miriane,Norfolk                     ,VA,United States
1/19/09 8:14,Product1,1200,Visa,Jeff,Houston                     ,TX,United States
1/23/09 8:00,Product1,1200,Diners,christina,Chepel,Budapest,Hungary
1/22/09 23:35,Product1,1200,Mastercard,Shannon,Buffalo Grove               ,IL,United States
1/14/09 3:09,Product1,1200,Mastercard,Angela,Newburgh,Scotland,United Kingdom
1/16/09 1:51,Product1,1200,Visa,Angela,Vienna,Vienna,Austria
1/1/09 6:29,Product1,1200,Mastercard,Elaine,Vicenza,Veneto,Italy
1/21/09 7:59,Product1,1200,Visa,Helen,Mechanics Grove             ,PA,United States
1/23/09 7:37,Product2,3600,Amex,Fatisha,Miami                       ,FL,United States
1/18/09 14:39,Product1,1200,Visa,Nina,Silver Spring               ,MD,United States
1/24/09 9:01,Product2,3600,Visa,Barbara,Kirriemuir,Scotland,United Kingdom
1/15/09 1:41,Product1,1200,Diners,Karen,Roquefort,Provence-Alpes-Cote d'Azur,France
1/17/09 7:23,Product1,1200,Visa,Georgina,Portland                    ,OR,United States
1/23/09 11:37,Product1,1200,Diners,Kellie,Staten Island               ,NY,United States
1/19/09 15:02,Product1,1200,Mastercard,Terry,San Antonio                 ,TX,United States
1/11/09 7:10,Product2,3600,Visa,LAURIE,Guildford,England,United Kingdom
1/10/09 3:28,Product1,1200,Visa,frauke,Horten,Vestfold,Norway
1/7/09 19:03,Product2,3600,Mastercard,Cindy,Englewood                   ,CO,United States
1/17/09 14:02,Product1,1200,Visa,Simone,San Antonio                 ,TX,United States
1/25/09 0:09,Product1,1200,Visa,Hilde ,Princeville                 ,HI,United States
1/9/09 14:27,Product1,1200,Visa,Leah,Castleknock,Dublin,Ireland
1/9/09 14:32,Product1,1200,Visa,Laine,Castleknock,Dublin,Ireland
1/11/09 15:59,Product1,1200,Visa,kirsten,Bishops Stortford,England,United Kingdom
1/6/09 14:38,Product2,3600,Mastercard,Elizabeth,Den Haag,Zuid-Holland,Netherlands
1/6/09 9:52,Product1,1200,Mastercard,Anna,Lafayette                   ,CA,United States
1/1/09 9:21,Product1,1200,Diners,Babs,Blackpool,England,United Kingdom
1/3/09 7:58,Product1,1200,Mastercard,Gerlinde,Hellerup,Kobenhavn,Denmark
1/11/09 11:36,Product1,1200,Mastercard,Hollyn,London,England,United Kingdom
1/13/09 14:53,Product1,1200,Visa,leiser,N Java                      ,NY,United States
1/1/09 10:06,Product2,3600,Mastercard,Irene,Munich,Bayern,Germany
1/16/09 5:07,Product1,1200,Amex,Lisa,Brulon,Pays de la Loire,France
1/6/09 16:37,Product1,1200,Visa,Ann,Austin                      ,TX,United States
1/18/09 17:21,Product1,1200,Mastercard,Nichol Jane,Midland Park                ,NJ,United States
1/13/09 15:18,Product1,1200,Amex,Beatriz,Centerport                  ,NY,United States
1/24/09 8:21,Product1,1200,Mastercard,corina,Neustift am Walde,Vienna,Austria
1/24/09 8:25,Product1,1200,Mastercard,manon,Neustift am Walde,Vienna,Austria
1/18/09 13:06,Product1,1200,Diners,Isabelle,Shorewood                   ,MN,United States
1/22/09 18:44,Product1,1200,Visa,Lynne,Southlake                   ,TX,United States
1/8/09 8:58,Product1,1200,Mastercard,Doug,Huntington                  ,NY,United States
1/4/09 9:54,Product1,1200,Mastercard,AMY,The Woodlands               ,TX,United States
1/13/09 20:22,Product1,1200,Visa,Kim,Kelowna,British Columbia,Canada
1/9/09 10:22,Product1,1200,Mastercard,HELIDA,White House                 ,TN,United States
1/5/09 12:28,Product1,1200,Visa,Cameron,Rungsted,Frederiksborg,Denmark
1/26/09 3:43,Product1,1200,Mastercard,Wendy,Lake Mahopac                ,NY,United States
1/26/09 3:49,Product2,3600,Mastercard,Jane,Biot,Provence-Alpes-Cote d'Azur,France
1/11/09 13:16,Product2,3600,Visa,shelby,Plantation                  ,FL,United States
1/22/09 15:32,Product1,1200,Mastercard,Tara,Killiney,Dublin,Ireland
1/9/09 14:25,Product1,1200,Amex,James,Guer,Brittany,France
1/21/09 11:28,Product1,800,Amex,Heloise ,Arlington                   ,VA,United States
1/1/09 14:19,Product1,1200,Mastercard,Gabriel,Three Hills,Alberta,Canada
1/26/09 4:30,Product1,1200,Visa,Jodie ,Great Falls,Virginia,United States
1/7/09 4:45,Product1,1200,Amex,Jeremy,London,England,United Kingdom
1/11/09 12:12,Product1,1200,Visa,Helga,Clontarf,Dublin,Ireland
1/26/09 10:24,Product1,1200,Visa,Eleanor,Vancouver,British Columbia,Canada
1/26/09 8:58,Product1,1200,Diners,Miss,London,England,United Kingdom
1/7/09 17:51,Product1,1200,Visa,Marie,Dickerson                   ,MD,United States
1/18/09 20:16,Product1,1200,Mastercard,Lisa,Princeton                   ,NJ,United States
1/13/09 9:51,Product1,1200,Mastercard,Priska,Calgary,Alberta,Canada
1/24/09 18:43,Product1,1200,Visa,Katrine,North Tustin                ,CA,United States
1/5/09 0:46,Product1,1200,Amex,Lisa,Gurgaon,Haryana,India
1/9/09 1:12,Product1,1200,Visa,Sabrina,Rambouillet,Ile-de-France,France
1/26/09 6:25,Product1,1200,Visa,prof,Gladwyne                    ,PA,United States
1/21/09 16:57,Product1,1200,Mastercard,KeithMichelle,Houston                     ,TX,United States
1/5/09 5:33,Product1,1200,Mastercard,Kim,London,England,United Kingdom
1/27/09 5:10,Product1,1200,Visa,anissa,Slough,England,United Kingdom
1/7/09 8:00,Product1,1200,Mastercard,john,Glan-Munchweiler,Rhineland-Palatinate,Germany
1/20/09 7:08,Product2,3600,Visa,Miye,Downingtown                 ,PA,United States
1/27/09 2:26,Product1,1200,Diners,Heidi,MT Pleasant                 ,TX,United States
1/5/09 6:14,Product1,1200,Mastercard,T,Veigy-Foncenex,Rhone-Alpes,France
1/13/09 8:11,Product2,3600,Visa,Daniele,Katy                        ,TX,United States
1/10/09 9:18,Product1,1200,Diners,luisa,Gorey, ,Jersey
1/8/09 18:52,Product1,1200,Visa,Nadine,Belgrade                    ,MT,United States
1/12/09 10:06,Product1,1200,Mastercard,Tina,Calgary,Alberta,Canada
1/1/09 19:25,Product1,1200,Diners,Damali,Toronto,Ontario,Canada
1/27/09 15:28,Product1,1200,Visa,Katherine,Corrales                    ,NM,United States
1/2/09 18:43,Product1,1200,Visa,Kathryn,Cork,Cork,Ireland
1/8/09 18:41,Product1,1200,Diners,Veronique,Tenafly                     ,NJ,United States
1/4/09 18:34,Product1,1200,Visa,Erica,Leesburg                    ,VA,United States
1/25/09 8:32,Product1,1200,Visa,L,Alcona,Ontario,Canada
1/23/09 22:19,Product1,1200,Mastercard,Diana,Kuala Lumpur,Kuala Lumpur,Malaysia
1/7/09 10:03,Product1,1200,Mastercard,Emma,Sydney,New South Wales,Australia
1/18/09 3:46,Product1,1200,Visa,Marina,Nerang,Queensland,Australia
1/28/09 0:40,Product1,1200,Mastercard,Natalie ,Bryceville                  ,FL,United States
1/2/09 15:18,Product1,1200,Diners,Brenda,Saffron Walden,England,United Kingdom
1/18/09 13:59,Product1,1200,Diners,Nita,Sutton,Dublin,Ireland
